Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,87.459999,95.440002,83.379997,84.980003,72.794495,28071629
2021-12-01,85.989998,91.879997,83.360001,88.489998,75.801178,21843568
2022-01-01,88.910004,100.419998,88.739998,92.949997,79.621651,28003999
2022-02-01,93.209999,97.599998,83.220001,86.559998,74.147934,35962099
2022-03-01,86.160004,87.500000,67.580002,78.599998,67.329338,59314019
2022-04-01,78.510002,80.620003,74.279999,78.510002,67.252243,21373562
2022-05-01,77.739998,83.000000,74.260002,80.629997,69.068253,29618340
2022-06-01,81.529999,84.050003,70.570000,73.459999,67.699760,30429615
2022-07-01,72.860001,79.809998,71.220001,79.480003,73.247711,26432199
2022-08-01,79.930000,81.129997,72.059998,73.470001,67.708977,28682598
2022-09-01,72.900002,76.839996,68.440002,69.989998,64.501854,30325649
2022-10-01,69.589996,79.940002,68.610001,79.519997,73.284569,23747444
2022-11-01,79.980003,86.370003,75.059998,86.309998,79.542145,27728003
2022-12-01,86.620003,86.709999,82.160004,83.379997,76.841896,21844532
2023-01-01,83.599998,93.360001,83.599998,93.230003,85.919533,22817339
2023-02-01,93.919998,100.519997,93.059998,97.750000,90.085098,22578902
2023-03-01,98.290001,103.699997,92.370003,100.940002,93.024963,31138636
2023-04-01,101.000000,104.480003,97.730003,101.440002,93.485756,17475596
2023-05-01,102.000000,109.839996,98.699997,101.919998,93.928116,23950511
2023-06-01,104.019997,113.459999,103.720001,112.519997,112.519997,19005764
2023-07-01,112.900002,113.120003,105.160004,110.860001,110.860001,16558289
2023-08-01,110.919998,111.699997,95.639999,97.169998,97.169998,23276747
2023-09-01,96.930000,100.419998,93.620003,96.379997,96.379997,21527811
2023-10-01,97.019997,99.459999,87.169998,88.629997,88.629997,16660468
