Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,73.790001,82.500000,73.699997,79.050003,78.608452,3345900
2021-12-01,79.830002,79.830002,62.270000,67.500000,67.122955,3578400
2022-01-01,68.599998,70.300003,55.049999,59.590000,59.257141,3326500
2022-02-01,59.900002,65.089996,56.220001,62.040001,61.693459,2135700
2022-03-01,60.939999,61.500000,42.599998,55.340000,55.030880,4952400
2022-04-01,58.290001,63.360001,55.000000,57.930000,57.606415,2951100
2022-05-01,58.450001,72.430000,52.740002,71.010002,70.613350,4254600
2022-06-01,72.699997,83.970001,70.699997,80.480003,80.030464,4910500
2022-07-01,79.029999,84.879997,67.730003,73.040001,72.664070,3675100
2022-08-01,74.199997,76.709999,61.150002,61.790001,61.471973,3441500
2022-09-01,59.189999,59.450001,49.150002,49.150002,48.897030,3367500
2022-10-01,50.619999,54.619999,42.720001,45.220001,44.987259,4258000
2022-11-01,47.680000,51.360001,43.450001,51.220001,50.956375,4546200
2022-12-01,50.220001,55.580002,48.320000,49.139999,48.887081,4463300
2023-01-01,51.310001,64.769997,50.910000,63.500000,63.173172,4151400
2023-02-01,66.570000,67.250000,53.770000,53.770000,53.493252,4228500
2023-03-01,58.000000,59.000000,49.570000,58.840000,58.537155,4146800
2023-04-01,59.450001,62.000000,55.509998,60.650002,60.337841,2639100
2023-05-01,60.650002,64.900002,58.049999,60.330002,60.019489,3607300
2023-06-01,60.490002,70.040001,59.509998,64.150002,63.819828,4077500
2023-07-01,67.000000,71.699997,65.250000,71.349998,71.349998,3897600
2023-08-01,71.089996,71.089996,55.490002,63.139999,63.139999,5458600
2023-09-01,63.110001,65.699997,59.990002,61.599998,61.599998,3734300
2023-10-01,61.689999,65.339996,58.450001,62.480000,62.480000,3660600
